n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.15,0.65,0.21510143759236866,14886,3202
30000,depolarizing,1,0.15,0.7000000000000001,0.22464060190783286,14886,3344
30000,depolarizing,1,0.15,0.75,0.23216444981862153,14886,3456
30000,depolarizing,1,0.15,0.8,0.24358457611178289,14886,3626
30000,depolarizing,1,0.15,0.8500000000000001,0.25312374042724706,14886,3768
30000,depolarizing,1,0.15,0.9,0.2707913475749026,14886,4031
30000,depolarizing,1,0.15,0.9500000000000001,0.2820099422275964,14886,4198
30000,depolarizing,1,0.15,1.0,0.2846298535536746,14886,4237
30000,depolarizing,1,0.16,0.0,0.07812709928792154,14886,1163
30000,depolarizing,1,0.16,0.05,0.09149536477226924,14886,1362
30000,depolarizing,1,0.16,0.1,0.10540104796453043,14886,1569
30000,depolarizing,1,0.16,0.15000000000000002,0.1124546553808948,14886,1674
30000,depolarizing,1,0.16,0.2,0.12521832594383986,14886,1864
30000,depolarizing,1,0.16,0.25,0.13072685744995297,14886,1946
30000,depolarizing,1,0.16,0.30000000000000004,0.14456536342872497,14886,2152
30000,depolarizing,1,0.16,0.35000000000000003,0.15726185677818083,14886,2341
30000,depolarizing,1,0.16,0.4,0.16760714765551524,14886,2495
30000,depolarizing,1,0.16,0.45,0.17546688163374982,14886,2612
30000,depolarizing,1,0.16,0.5,0.1833937928254736,14886,2730
30000,depolarizing,1,0.16,0.55,0.1881633749832057,14886,2801
30000,depolarizing,1,0.16,0.6000000000000001,0.2089211339513637,14886,3110
30000,depolarizing,1,0.16,0.65,0.21832594383984952,14886,3250
30000,depolarizing,1,0.16,0.7000000000000001,0.22806663979578126,14886,3395
30000,depolarizing,1,0.16,0.75,0.2357248421335483,14886,3509
30000,depolarizing,1,0.16,0.8,0.24687625957275292,14886,3675
30000,depolarizing,1,0.16,0.8500000000000001,0.2556092973263469,14886,3805
30000,depolarizing,1,0.16,0.9,0.27347843611447,14886,4071
30000,depolarizing,1,0.16,0.9500000000000001,0.28489856240763134,14886,4241
30000,depolarizing,1,0.16,1.0,0.2867795243853285,14886,4269
30000,depolarizing,1,0.17,0.0,0.08363563079403466,14886,1245
30000,depolarizing,1,0.17,0.05,0.09727260513233911,14886,1448
30000,depolarizing,1,0.17,0.1,0.11010345290877334,14886,1639
30000,depolarizing,1,0.17,0.15000000000000002,0.11675399704420261,14886,1738
30000,depolarizing,1,0.17,0.2,0.1288458954722558,14886,1918
30000,depolarizing,1,0.17,0.25,0.13422007255139057,14886,1998
30000,depolarizing,1,0.17,0.30000000000000004,0.1487303506650544,14886,2214
30000,depolarizing,1,0.17,0.35000000000000003,0.1605535402391509,14886,2390
30000,depolarizing,1,0.17,0.4,0.17143624882439876,14886,2552
30000,depolarizing,1,0.17,0.45,0.17882574230820905,14886,2662
30000,depolarizing,1,0.17,0.5,0.18796184334273813,14886,2798
30000,depolarizing,1,0.17,0.55,0.1915894128711541,14886,2852
30000,depolarizing,1,0.17,0.6000000000000001,0.21221281741233375,14886,3159
30000,depolarizing,1,0.17,0.65,0.2219535133682655,14886,3304
30000,depolarizing,1,0.17,0.7000000000000001,0.23068655112185946,14886,3434
30000,depolarizing,1,0.17,0.75,0.23847910788660487,14886,3550
30000,depolarizing,1,0.17,0.8,0.24983205696627703,14886,3719
30000,depolarizing,1,0.17,0.8500000000000001,0.2586994491468494,14886,3851
30000,depolarizing,1,0.17,0.9,0.2762998790810157,14886,4113
30000,depolarizing,1,0.17,0.9500000000000001,0.28819024586860137,14886,4290
30000,depolarizing,1,0.17,1.0,0.28960096735187424,14886,4311
30000,depolarizing,1,0.18,0.0,0.08827085852478839,14886,1314
30000,depolarizing,1,0.18,0.05,0.10224371893053875,14886,1522
30000,depolarizing,1,0.18,0.1,0.11500738949348381,14886,1712
30000,depolarizing,1,0.18,0.15000000000000002,0.1215235792019347,14886,1809
30000,depolarizing,1,0.18,0.2,0.13348112320300953,14886,1987
30000,depolarizing,1,0.18,0.25,0.13811635093376326,14886,2056
